Timestamp,Packet Length,Protocol,Gap,Label
1769957235.364994,1292,2,0,0
1769957235.364994,612,2,0,0
1769957235.365207,79,2,0,0
1769957235.365262,73,2,0,0
1769957235.365434,1292,2,0,0
1769957235.365434,1292,2,0,0
1769957235.365482,1292,2,0,0
1769957235.36554,1292,2,0,0
1769957235.365711,73,2,0,0
1769957235.365783,73,2,0,0
1769957235.367073,1292,2,0,0
1769957235.367073,1292,2,0,0
1769957235.367073,1292,2,0,0
1769957235.367073,66,1,0,0
1769957235.367185,54,1,0,0
1769957235.367262,73,2,0,0
1769957235.367298,1292,2,0,0
1769957235.367298,1292,2,0,0
1769957235.367298,1292,2,0,0
1769957235.367421,56,1,0,0
1769957235.367448,105,1,0,0
1769957235.367541,73,2,0,0
1769957235.367585,73,2,0,0
1769957235.369669,66,1,0,0
1769957235.369726,54,1,0,0
1769957235.369764,1292,2,0,0
1769957235.369799,56,1,0,0
1769957235.369825,105,1,0,0
1769957235.375187,1292,2,0,0
1769957235.375187,1292,2,0,0
1769957235.375187,1292,2,0,0
1769957235.375279,1292,2,0,0
1769957235.375279,1292,2,0,0
1769957235.375279,1292,2,0,0
1769957235.375279,1292,2,0,0
1769957235.375338,1292,2,0,0
1769957235.375338,1292,2,0,0
1769957235.37543,73,2,0,0
1769957235.37551,73,2,0,0
1769957235.375564,73,2,0,0
1769957235.375611,73,2,0,0
1769957235.375656,73,2,0,0
1769957235.375945,1292,2,0,0
1769957235.375945,1292,2,0,0
1769957235.376138,73,2,0,0
1769957235.37993,1292,2,0,0
1769957235.380029,1292,2,0,0
1769957235.380029,1292,2,0,0
1769957235.380301,73,2,0,0
1769957235.380789,1292,2,0,0
1769957235.380943,73,2,0,0
1769957235.383093,1292,2,0,0
1769957235.383125,1292,2,0,0
1769957235.383125,1292,2,0,0
1769957235.383192,1292,2,0,0
1769957235.383241,73,2,0,0
1769957235.383273,73,2,0,0
1769957235.398573,54,1,0,0
1769957235.400672,54,1,0,0
1769957235.400672,54,1,0,0
1769957235.400672,54,1,0,0
1769957235.400672,107,1,0,0
1769957235.400672,153,1,0,0
1769957235.400942,54,1,0,0
1769957235.401657,54,1,0,0
1769957235.402437,1292,2,0,0
1769957235.402502,1292,2,0,0
1769957235.402711,121,2,0,0
1769957235.420813,163,2,0,0
1769957235.420813,65,2,0,0
1769957235.423001,162,2,0,0
1769957235.42408,1292,2,0,0
1769957235.424287,73,2,0,0
1769957235.42615,1292,2,0,0
1769957235.428736,65,2,0,0
1769957235.429226,1292,2,0,0
1769957235.429226,1292,2,0,0
1769957235.429467,78,2,0,0
1769957235.430099,54,1,0,0
1769957235.430099,54,1,0,0
1769957235.430165,54,1,0,0
1769957235.430225,54,1,0,0
1769957235.431484,1292,2,0,0
1769957235.431484,1292,2,0,0
1769957235.431827,77,2,0,0
1769957235.431859,66,2,0,0
1769957235.433952,82,2,0,0
1769957235.435954,1292,2,0,0
1769957235.435954,1292,2,0,0
1769957235.436153,73,2,0,0
1769957235.440819,60,7,0,0
1769957235.440843,42,7,0,0
