length,protocol,gap,label
1274,2,2.6941299438476562e-05,0
1274,2,2.3126602172851562e-05,0
1274,2,2.4080276489257812e-05,0
1274,2,2.384185791015625e-05,0
1274,2,2.3126602172851562e-05,0
1274,2,2.5987625122070312e-05,0
1274,2,3.0040740966796875e-05,0
1274,2,2.47955322265625e-05,0
1274,2,0.00012922286987304688,0
1274,2,2.384185791015625e-05,0
1274,2,0.00315093994140625,0
110,2,0.0024340152740478516,0
110,2,0.0027379989624023438,0
142,2,0.0023560523986816406,0
90,2,0.0007150173187255859,0
1274,2,0.008285999298095703,0
1274,2,0.00032901763916015625,0
142,2,0.0019359588623046875,0
142,2,0.012230157852172852,0
1274,2,0.0025048255920410156,0
1274,2,0.0007760524749755859,0
1274,2,0.0003991127014160156,0
654,2,0.0020618438720703125,0
1274,2,0.00333404541015625,0
1274,2,0.0002219676971435547,0
1274,2,5.2928924560546875e-05,0
